latitude,longitude,label,link
NZ093826	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1290	Inside S porch. E side of door
NZ189301	St John the Evangelist's Church 	https://sundialsoc.org.uk/#massidial-0258	Nave, S wall, E of door, above window 2.  centre S Wall
NZ198851	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1293	Chancel buttress, 1200mm to E of priest door
NZ224378	St Brandon's Church 	https://sundialsoc.org.uk/#massidial-0675	On buttress S face. At W end of church
NZ240866	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1291	S aisle, easternmost buttress
NZ240866	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1292	S Aisle, 600mm to E of porch, by drainpipe
NZ408480	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0256	Nave, S wall, Doorway, inside porch, above door.  above porch
SD268742	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0562	S Porch, to L of doorway.  LHS of porch
SD496796	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0209	Chancel, S wall, to R of priest door.  RHS Priest door
SD496796	St Michael's Church 	https://sundialsoc.org.uk/#massidial-0586	Chancel, S wall,    Diagonal Buttress SW end. Coping stone.
SD525163	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1163	To left of priest door, behind drainpipe.
SD525163	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1164	On buttress to left of priest door
SD860485	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1179	Entry in Monograph 3 Yorkshire Dials: See MSN 1162
SD863484	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1162	Right side of South door inside porch
SE235746	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0850	S Porch, above doorway.   over porch door
SE235746	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0851	Chancel, S wall, to R of window 3.   Between Chancel windows
SE248034	St John the Baptist's Church 	https://sundialsoc.org.uk/#massidial-1194	South buttress
SE313451	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0173	Nave, S wall, E of door, buttress 3.  Centre Buttress S Aisle
SE320130	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1184	Chancel, South wall, to left of East window 
SE364336	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1183	South buttress
SE378182	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1180	South buttress
SE385306	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1181	South wall near porch, high up
SE385306	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1182	South buttress East of porch
SE406664	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1040	Chancel, S wall, below window 1.   Sill window W Priest door
SE419043	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1191	Corner of Tower
SE433009	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1173	South porch
SE441479	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1041	Nave, S wall,  Buttress E of porch
53.89798205602193, -1.2927443276443238	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0210	Chancel, S wall, to L of priest door.  LHS Priest door
SE46545053.89798205602193, -1.2927443276443238	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0211	Chancel, S wall, to R of priest door.  RHS Priest door
SE476504	St Helens' Church 	https://sundialsoc.org.uk/#massidial-0832	Inside Church.   Chancel below window
SE476504	St Helens' Church 	https://sundialsoc.org.uk/#massidial-0833	Inside Church.   Chancel below window
SE476504	St Helens' Church 	https://sundialsoc.org.uk/#massidial-0834	Inside Church.   Chancel below window
SE484032	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1311	South wall
SE499480	St John's Church 	https://sundialsoc.org.uk/#massidial-1042	Nave, S wall, E of door, to L of window 1.   Wall R of S door
SE499480	St John's Church 	https://sundialsoc.org.uk/#massidial-1043	Tower, S wall, to R   S face Tower
SE531972	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0846	Nave, S wall, E of door, to L of window 1.   R of S door
SE531972	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0847	Nave, S wall,  right of S door
SE531972	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0848	Nave, S wall, E of door, to R window 1.   RHS window
SE531972	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0849	Chancel, S wall, to R of priest door.   RHS Priest door
SE537120	St Helen's Church 	https://sundialsoc.org.uk/#massidial-1189	Inside South porch, left wall
SE540020	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0844	Chancel, S wall, buttress 4.
SE541086	St Lawrence's Church 	https://sundialsoc.org.uk/#massidial-1185	Lintel above priest door
SE545141	St Mary Magdalene's Church 	https://sundialsoc.org.uk/#massidial-1313	Nave, South wall. Near corner with South transept
SE583679	St Nicholas' Church 	https://sundialsoc.org.uk/#massidial-0831	Chancel, S wall, to R of priest door.   RHS Priest door
SE602523	Minster's Church 	https://sundialsoc.org.uk/#massidial-1039	Nave, S wall, W of door, buttress 2.   Nave 1st Buttress from Tower
SE614097	St Peter & St Paul's Church 	https://sundialsoc.org.uk/#massidial-1187	Porch, left hand side
SE619015	St Wilfrid's Church 	https://sundialsoc.org.uk/#massidial-1190	Right side of priest door
SE621789	St Oswald's Church 	https://sundialsoc.org.uk/#massidial-0852	Chancel, S wall, to L of priest door.   LHS Priest door
SE621789	St Oswald's Church 	https://sundialsoc.org.uk/#massidial-0853	Chancel, S wall, to L of priest door.   LHS Priest door
SE621789	St Oswald's Church 	https://sundialsoc.org.uk/#massidial-0854	Chancel, S wall, to L of priest door.   LHS Priest door
SE622050	St Leonard & St Mary's Church 	https://sundialsoc.org.uk/#massidial-1186	Chancel, South wall
SE622050	St Leonard & St Mary's Church 	https://sundialsoc.org.uk/#massidial-1310	Chancel, South wall
SE663096	St Lawrence's Church 	https://sundialsoc.org.uk/#massidial-1192	Buttress on South wall
SE699677	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0855	Nave, S wall, E of door, to L of window 5.   Between windows Nave high
SE699677	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0856	Nave, S wall, E of door, to L of window 4.   Between Nave window high
SE704540	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1542	Nave S wall, to R of window
SE704540	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1543	To W of window on S nave
SE733510	St John the Baptist's Church 	https://sundialsoc.org.uk/#massidial-1572	South East buttress
SE733649	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1066	Nave, S wall, E of door, to R window 1.   LHS Priest door
SE760452	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1570	Nave, 1200 mm from SW corner
SE772580	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1692	South buttress
SE772580	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1693	South buttress
SE772580	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1694	South buttress
SE782854	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1710	East end of nave, buttress south face
SE797300	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1520	To R of S window to R of S door
SE805005	St Martin's Church 	https://sundialsoc.org.uk/#massidial-1276	Chancel, SE buttress, S face
SE808585	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1534	Tower, W wall
SE819409	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0520	Nave, W quoin stone.  LH  quoin of Nave
SE822390	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1529	Buttress to E of porch
SE822460	St Martin's Church 	https://sundialsoc.org.uk/#massidial-0525	Chancel, S wall, to R of priest door.  RHS Priest door
SE822460	St Martin's Church 	https://sundialsoc.org.uk/#massidial-1678	Priest door, apex of arch
SE836464	St Giles' Church 	https://sundialsoc.org.uk/#massidial-0521	Nave, S wall, E of door, to L of window 1.  Buttress L of window
SE836464	St Giles' Church 	https://sundialsoc.org.uk/#massidial-0522	Nave, S wall, Doorway, inside porch, above door.  LHS S door
SE836464	St Giles' Church 	https://sundialsoc.org.uk/#massidial-0523	Nave, S wall, Doorway, inside porch, above door.  LHS S door
SE836464	St Giles' Church 	https://sundialsoc.org.uk/#massidial-0524	Position unknown - could be inside or out!
SE844210	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1684	Chancel, S wall
SE844210	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1685	Chancel, S wall, above dial 1
SE868454	 All Saints' Church 	https://sundialsoc.org.uk/#massidial-0805	 Doorway, inside porch, above door.   over S door in porch
SE868454	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0806	 W quoin stone.   LH Buttress of Tower
SE868454	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0807	 W quoin stone.  LH Buttress tower
SE868454	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0808	Nave, W quoin stone.  LH Buttress tower
SE875593	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0801	Nave, S wall, E of door, to R of window 2.  S Wall Nave
SE878418	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1544	R side of porch
SE888732	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0809	Tower, S wall, to L.   S Wall Tower
SE888732	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0810	Nave, S wall, E of door, to R window 1.   S Aisle R of No.1 window
SE888732	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0811	Nave, S wall, E of door, to R of window 5.   E end S Aisle
SE888732	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0812	Chancel, S wall, to R of priest door.   RHS Priest door.
SE888732	St Peter's Church 	https://sundialsoc.org.uk/#massidial-0813	Chancel, S wall, to R of window 4.   E end Chancel
SE890432	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1677	Inside S porch to L of door
SE890433	All Saints' Church 	https://sundialsoc.org.uk/#massidial-0526	Chancel, S wall, to R of priest door.
SE925520	All Saints' Church 	https://sundialsoc.org.uk/#massidial-1558	Chancel, to R of last window
SE947497	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1545	Chancel, SE buttress, E face
SE947497	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1546	1st buttress to E of S porch
SE947497	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1547	South porch, to L of door
SE965524	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1687	Chancel, SE buttress, E face
SE965524	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1688	Chancel, East wall
SE965524	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1689	Chancel, 2nd buttress to E of priest door
SE965524	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1690	South aisle, to R of 2nd window to E of S door
SE980552	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1535	Nave, SE buttress, S face
SE980552	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1536	Nave, SE buttress, S face
SE980552	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1537	Nave, to W of SE buttress, high up
SE980552	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1538	Nave, to W of SE corner buttress, below dial 3
SE982595	St Michael's Church 	https://sundialsoc.org.uk/#massidial-1521	Tower.    South buttress
SE990776	St Nicholas' Church 	https://sundialsoc.org.uk/#massidial-0802	Tower, S wall, to L.   S.face tower
SE990776	St Nicholas' Church 	https://sundialsoc.org.uk/#massidial-0803	S Porch, to R of doorway.   RHS porch
SE990776	St Nicholas' Church 	https://sundialsoc.org.uk/#massidial-0804	S Porch, E quoin stone.   SW Buttress porch
SE997469	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1539	South wall, W end, 2m from corner, just below drip moulding
SE997469	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1540	South transept, SE buttress
SE997469	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1541	South transept, SE buttress, above dial 2
SH415497	St Bueno's Church 	https://sundialsoc.org.uk/#massidial-1618	In the Churchyard, W end of S wall
SH584007	St Cadfan's Church 	https://sundialsoc.org.uk/#massidial-1619	 Inside the Church. Moved inside in 2010 after standing by Tourist Information Office
SJ225076	St Matu or St Cynfelyn's Church 	https://sundialsoc.org.uk/#massidial-1620	South door, Right side
SJ457507	St Mary's Church 	https://sundialsoc.org.uk/#massidial-0259	Nave, W quoin stone.  W Buttress Nave
SJ475695	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0591	Nave, S wall, E of door.  Under window R of porch. Leftmost dial
SJ475695	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0592	Nave, S wall, E of door.  Under window R of porch. Immediately to R of dial 1 (0591)
SJ475695	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-1659	Below window to R of S door. Immediately to R of dials 1 & 2
SJ487005	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1666	South wall. Between the first two windows of the four to R of door
SJ598655	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1671	Position unknown - look high, look low!
SJ639864	St Wilfred's Church 	https://sundialsoc.org.uk/#massidial-0231	Nave, W quoin stone.  W Diag Buttress Nave facing W.
SJ652523	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1672	South transept, E buttress
SJ652523	St Mary's Church 	https://sundialsoc.org.uk/#massidial-1673	South transept, W buttress
SJ660436	St James the Great's Church 	https://sundialsoc.org.uk/#massidial-0260	Nave, S wall, E of door, buttress 1.  S Buttress Nave
SJ660436	St James the Great's Church 	https://sundialsoc.org.uk/#massidial-0261	Nave, S wall, E of door, buttress 1.  S Buttress Nave
SJ748075	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0501	S Porch,   LHS porch
SJ748075	St Andrew's Church 	https://sundialsoc.org.uk/#massidial-0502	Transept, below window 2.  Wall, Lady Chapel
SJ786235	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1916	Chancel, S wall, to E of buttress
SJ786235	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1917	Chancel. S wall to E of dial 1
SJ786235	St Peter's Church 	https://sundialsoc.org.uk/#massidial-1918	Chancel, S wall, to E of dial 2
SJ790802	St Wilfred's Church 	https://sundialsoc.org.uk/#massidial-0200	Nave, S wall, E of door, 1st buttress to E
SJ810410	St Mary and All Saints' Church 	https://sundialsoc.org.uk/#massidial-1926	S wall. To E of western buttress
SJ810410	St Mary and All Saints' Church 	https://sundialsoc.org.uk/#massidial-3521	South wall, E end, below the end window. Doubtful
